anime_id,name,english_name,genres,studios,image_url,content,content_prep
3414,Hula Kappa,UNKNOWN,Comedy,Office AO,https://cdn.myanimelist.net/images/anime/8/80771.jpg,Hula Kappa Office AO Comedy,"['hula', 'kappa', 'offic', 'comedi']"
3418,Jungle no Ouja Tar-chan,UNKNOWN,"Action, Comedy",Group TAC,https://cdn.myanimelist.net/images/anime/1948/106089.jpg,"Jungle no Ouja Tar-chan Group TAC Action, Comedy","['jungl', 'ouja', 'tar', 'chan', 'group', 'tac', 'action', 'comedi']"
3420,Shigofumi,Shigofumi: Letters from the Departed,"Drama, Fantasy, Suspense",J.C.Staff,https://cdn.myanimelist.net/images/anime/4/50787.jpg,"Shigofumi J.C.Staff Drama, Fantasy, Suspense","['shigofumi', 'staff', 'drama', 'fantasi', 'suspens']"
3421,Kodomo no Omocha,UNKNOWN,"Comedy, Drama",J.C.Staff,https://cdn.myanimelist.net/images/anime/1461/105879.jpg,"Kodomo no Omocha J.C.Staff Comedy, Drama","['kodomo', 'omocha', 'staff', 'comedi', 'drama']"
3424,Porphy no Nagai Tabi,The Orphans of Simitra,Drama,Nippon Animation,https://cdn.myanimelist.net/images/anime/11/5585.jpg,Porphy no Nagai Tabi Nippon Animation Drama,"['porphi', 'nagai', 'tabi', 'nippon', 'anim', 'drama']"
3425,Meiken Lassie,UNKNOWN,"Adventure, Slice of Life",Nippon Animation,https://cdn.myanimelist.net/images/anime/13/51265.jpg,"Meiken Lassie Nippon Animation Adventure, Slice of Life","['meiken', 'lassi', 'nippon', 'anim', 'adventur', 'slice', 'life']"
3429,Blame! Special,UNKNOWN,"Action, Sci-Fi",Group TAC,https://cdn.myanimelist.net/images/anime/5/10569.jpg,"Blame! Special Group TAC Action, Sci-Fi","['blame', 'special', 'group', 'tac', 'action', 'sci']"
3430,Blame! Prologue,UNKNOWN,"Action, Sci-Fi",Production I.G,https://cdn.myanimelist.net/images/anime/11/5599.jpg,"Blame! Prologue Production I.G Action, Sci-Fi","['blame', 'prologu', 'product', 'action', 'sci']"
3432,Chou Mashin Eiyuuden Wataru,Super Demon Hero Wataru,"Action, Adventure, Comedy",Sunrise,https://cdn.myanimelist.net/images/anime/1426/100501.jpg,"Chou Mashin Eiyuuden Wataru Sunrise Action, Adventure, Comedy","['chou', 'mashin', 'eiyuuden', 'wataru', 'sunris', 'action', 'adventur', 'comedi']"
3433,Go-Q-Choji Ikkiman,Battle Ball,"Sci-Fi, Sports",Toei Animation,https://cdn.myanimelist.net/images/anime/9/63019.jpg,"Go-Q-Choji Ikkiman Toei Animation Sci-Fi, Sports","['choji', 'ikkiman', 'toei', 'anim', 'sci', 'sport']"
3434,Hey! Bumboo,Bumpety Boo,Adventure,Nippon Animation,https://cdn.myanimelist.net/images/anime/9/5633.jpg,Hey! Bumboo Nippon Animation Adventure,"['hey', 'bumboo', 'nippon', 'anim', 'adventur']"
3435,Joou Heika no Petite Angie,Angie Girl,Mystery,"Nippon Animation, Production Reed",https://cdn.myanimelist.net/images/anime/2/5634.jpg,"Joou Heika no Petite Angie Nippon Animation, Production Reed Mystery","['joou', 'heika', 'petit', 'angi', 'nippon', 'anim', 'product', 'reed', 'mysteri']"
3436,Meme Iroiro Yume no Tabi,The Many Dream Journeys of Meme,"Adventure, Sci-Fi",Nippon Animation,https://cdn.myanimelist.net/images/anime/1581/134251.jpg,"Meme Iroiro Yume no Tabi Nippon Animation Adventure, Sci-Fi","['meme', 'iroiro', 'yume', 'tabi', 'nippon', 'anim', 'adventur', 'sci']"
